Unnamed: 0,gdp_per_capita,country,iso_code
1960,2999.86,United States,USA
1961,3059.16,United States,USA
1962,3236.01,United States,USA
1963,3366.37,United States,USA
1964,3565.31,United States,USA
1965,3818.29,United States,USA
1966,4136.31,United States,USA
1967,4325.96,United States,USA
1968,4684.59,United States,USA
1969,5020.0,United States,USA
1970,5234.3,United States,USA
1971,5609.38,United States,USA
1972,6094.02,United States,USA
1973,6726.36,United States,USA
1974,7225.69,United States,USA
1975,7801.46,United States,USA
1976,8592.25,United States,USA
1977,9452.58,United States,USA
1978,10564.95,United States,USA
1979,11674.18,United States,USA
1980,12574.79,United States,USA
1981,13976.11,United States,USA
1982,14433.79,United States,USA
1983,15543.89,United States,USA
1984,17121.23,United States,USA
1985,18236.83,United States,USA
1986,19071.23,United States,USA
1987,20038.94,United States,USA
1988,21417.01,United States,USA
1989,22857.15,United States,USA
1990,23888.6,United States,USA
1991,24342.26,United States,USA
1992,25418.99,United States,USA
1993,26387.29,United States,USA
1994,27694.85,United States,USA
1995,28690.88,United States,USA
1996,29967.71,United States,USA
1997,31459.13,United States,USA
1998,32853.67,United States,USA
1999,34515.38,United States,USA
2000,36329.97,United States,USA
2001,37133.62,United States,USA
2002,37997.74,United States,USA
2003,39490.3,United States,USA
2004,41724.64,United States,USA
2005,44123.4,United States,USA
2006,46301.99,United States,USA
2007,48050.23,United States,USA
2008,48570.06,United States,USA
2009,47194.95,United States,USA
2010,48650.66,United States,USA
2011,50065.98,United States,USA
2012,51784.41,United States,USA
2013,53409.75,United States,USA
2014,55304.32,United States,USA
2015,57040.21,United States,USA
2016,58206.61,United States,USA
2017,60322.26,United States,USA
2018,63201.05,United States,USA
2019,65604.68,United States,USA
2020,64411.37,United States,USA
2021,71318.31,United States,USA
2022,78035.18,United States,USA
2023,82769.41,United States,USA
